filename,source,theme_reference,category,width,height,size_mb,url
Boba_Kit_at_Home.png,live-site,used,Lifestyle / editorial,2796.0,1344.0,3.69,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Boba_Kit_at_Home.png
Classic_Matcha_op2.jpg,live-site,used,Lifestyle / editorial,2688.0,1536.0,0.72,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Classic_Matcha_op2.jpg
Classic_matcha_61073eb6-98ce-4371-85f5-bc9f04c04058.png,live-site,used,Lifestyle / editorial,2045.0,2045.0,2.43,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Classic_matcha_61073eb6-98ce-4371-85f5-bc9f04c04058.png
Green_Tea_Matcha.jpg,live-site,used,Lifestyle / editorial,3356.0,3720.0,5.1,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Green_Tea_Matcha.jpg
Green_Tea_Matcha.png,live-site,used,Lifestyle / editorial,3356.0,2398.0,8.84,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Green_Tea_Matcha.png
NUTTY_TARO.png,live-site,used,Lifestyle / editorial,2045.0,2045.0,2.43,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/NUTTY_TARO.png
Spiced_CHai_Latte.png,live-site,used,Lifestyle / editorial,2045.0,2045.0,2.51,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Spiced_CHai_Latte.png
Taro.png,live-site,used,Lifestyle / editorial,2304.0,2304.0,4.74,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Taro.png
Taro_boba_drink.jpg,live-site,used,Lifestyle / editorial,2688.0,1536.0,0.7,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Taro_boba_drink.jpg
Thai.png,live-site,used,Lifestyle / editorial,2304.0,2304.0,3.49,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai.png
Thai_31525e1d-1039-4670-9ca2-be05df58cd31.png,live-site,used,Lifestyle / editorial,2045.0,2045.0,2.5,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Thai_31525e1d-1039-4670-9ca2-be05df58cd31.png
Untitled_design.png,live-site,used,Lifestyle / editorial,1609.0,1081.0,2.46,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/Untitled_design.png
about_Bts.png,live-site,used,Lifestyle / editorial,2048.0,2048.0,3.57,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/about_Bts.png
blue_hawaii.png,live-site,used,Lifestyle / editorial,2304.0,2304.0,4.61,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/blue_hawaii.png
boba_drinks.jpg,live-site,used,Lifestyle / editorial,2000.0,1333.0,1.95,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/boba_drinks.jpg
boba_easy_to_make.png,live-site,used,Lifestyle / editorial,2465.0,1344.0,3.28,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/boba_easy_to_make.png
bubble_tea.jpg,live-site,used,Lifestyle / editorial,2000.0,1125.0,1.17,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/bubble_tea.jpg
bubblegum.png,live-site,used,Lifestyle / editorial,2304.0,2304.0,3.26,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/bubblegum.png
cafe_style_boba.jpg,live-site,used,Lifestyle / editorial,5600.0,4480.0,13.21,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/cafe_style_boba.jpg
classic_Matcha.png,live-site,used,Lifestyle / editorial,2304.0,2304.0,4.91,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/classic_Matcha.png
friends-having-fun-party.png,live-site,used,Lifestyle / editorial,2880.0,1920.0,6.47,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/friends-having-fun-party.png
lychee_wide.png,live-site,used,Lifestyle / editorial,3186.0,1792.0,4.69,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/lychee_wide.png
peopleEnjoying_bubble_tea.png,live-site,used,Lifestyle / editorial,1024.0,1024.0,1.69,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/peopleEnjoying_bubble_tea.png
spiced_chai.png,live-site,used,Lifestyle / editorial,2304.0,2304.0,5.26,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/spiced_chai.png
